qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,542.1479559715377,{'k': 7},nqc
1037496,who is rep scalise,60.28464182136755,{'k': 7},nqc
1037798,who is robert gray,33.06412883267488,{'k': 7},nqc
1043135,who killed nicholas ii of russia,61.107881304288675,{'k': 7},nqc
104861,cost of interior concrete flooring,6.587019694820854,{'k': 7},nqc
1051399,who sings monk theme song,15.918701313767409,{'k': 7},nqc
1063750,why did the us volunterilay enter ww1,46.15103664955667,{'k': 7},nqc
1064670,why do hunters pattern their shotguns,514.4318767100327,{'k': 7},nqc
1071750,why is pete rose banned from hall of fame,233.04129380044455,{'k': 7},nqc
1103812,who formed the commonwealth of independent states,24.352389182895365,{'k': 7},nqc
1105792,define geon,15.967760792380384,{'k': 7},nqc
1106007,define visceral,27.344983535465193,{'k': 7},nqc
1106979,define pareto chart in statistics,69.62682123358731,{'k': 7},nqc
1108651,what the best way to get clothes white,88.8939358512477,{'k': 7},nqc
1109707,what medium do radio waves travel through,9.26522599766874,{'k': 7},nqc
1110199,what is wifi vs bluetooth,55.49062502745909,{'k': 7},nqc
1110678,what is the un fao,64.35005071563046,{'k': 7},nqc
1112341,what is the daily life of thai people,24.114370743622718,{'k': 7},nqc
1113256,what is reba mcentire s net worth,305.8137706108127,{'k': 7},nqc
1113437,what is physical description of spruce,39.79582697950199,{'k': 7},nqc
1114646,what is famvir prescribed for,18.99466580034917,{'k': 7},nqc
1114819,what is durable medical equipment consist of,53.31343020172848,{'k': 7},nqc
1115210,what is chaff and flare,386.92731314010865,{'k': 7},nqc
1115776,what is an aml surveillance analyst,127.73352580447,{'k': 7},nqc
1116380,what is a nonconformity earth science,9.02447592700765,{'k': 7},nqc
1117099,what is a active margin,3.966174762038573,{'k': 7},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,255.16993586025848,{'k': 7},nqc
1121402,what can contour plowing reduce,17.010895748651883,{'k': 7},nqc
1121709,what are the three percenters,0.04253249967797875,{'k': 7},nqc
1122767,what amino produces carnitine,54.06262128952077,{'k': 7},nqc
1124210,tracheids are part of,19.561643247572796,{'k': 7},nqc
1127540,meaning of shebang,48.869259320487515,{'k': 7},nqc
1129237,hydrogen is a liquid below what temperature,21.32924624860729,{'k': 7},nqc
1131069,how many sons robert kraft has,113.31823347277731,{'k': 7},nqc
1132532,average annual income data analyst,27.849557599313727,{'k': 7},nqc
1133167,how is the weather in jamaica,10.87247569787631,{'k': 7},nqc
1133579,how does granulation tissue start,23.926682989589484,{'k': 7},nqc
1136043,difference between a hotel and motel,200.65790231664033,{'k': 7},nqc
1136047,difference between a company s strategy and business model is,180.66504551242298,{'k': 7},nqc
1136962,why did the ancient egyptians call their land kemet or black land,19.1133445506034,{'k': 7},nqc
118440,define bmt medical,56.681419759765845,{'k': 7},nqc
121171,define etruscans,56.42343018732278,{'k': 7},nqc
130510,definition declaratory judgment,7.548086370424893,{'k': 7},nqc
131843,definition of a sigmet,146.39849990208015,{'k': 7},nqc
135802,definition of laudable,78.90126582832781,{'k': 7},nqc
141630,describe how muscles and bones work together to produce movement,2.615095718757946,{'k': 7},nqc
146187,difference between a mcdouble and a double cheeseburger,529.7224784091222,{'k': 7},nqc
148538,difference between rn and bsn,7.6061156140575585,{'k': 7},nqc
156493,do goldfish grow,1.789524939994501,{'k': 7},nqc
156498,do google docs auto save,76.30344474062021,{'k': 7},nqc
168216,does legionella pneumophila cause pneumonia,83.94866069289573,{'k': 7},nqc
169208,does mississippi have an income tax,36.177531754587136,{'k': 7},nqc
174463,dog day afternoon meaning,19.934132362838973,{'k': 7},nqc
182539,example of monotonic function,60.00964516182723,{'k': 7},nqc
183378,exons definition biology,14.159307214606054,{'k': 7},nqc
19335,anthropological definition of environment,28.634282696814374,{'k': 7},nqc
207786,how are some sharks warm blooded,15.318544471087451,{'k': 7},nqc
23849,are naturalization records public information,21.639337628432894,{'k': 7},nqc
258062,how long does it take to remove wisdom tooth,96.21869407678751,{'k': 7},nqc
264014,how long is life cycle of flea,8.914576964472493,{'k': 7},nqc
324585,how much money do motivational speakers make,90.28921558713732,{'k': 7},nqc
330975,how much would it cost to install my own wind turbine,17.060354101222522,{'k': 7},nqc
332593,how often to button quail lay eggs,184.88990095873174,{'k': 7},nqc
336901,how old is vanessa redgrave,39.02342400241705,{'k': 7},nqc
359349,how to find the midsegment of a trapezoid,56.677384991557936,{'k': 7},nqc
390360,ia suffix meaning,45.32920175925601,{'k': 7},nqc
405163,is caffeine an narcotic,16.92823495885895,{'k': 7},nqc
405717,is cdg airport in main paris,58.30669696708753,{'k': 7},nqc
42255,average salary for dental hygienist in nebraska,58.028996551679334,{'k': 7},nqc
443396,lps laws definition,10.99591429726476,{'k': 7},nqc
451602,medicare s definition of mechanical ventilation,80.07770468321024,{'k': 7},nqc
47210,average wedding dress alteration cost,5.46424735178643,{'k': 7},nqc
47923,axon terminals or synaptic knob definition,144.52894648854993,{'k': 7},nqc
489204,right pelvic pain causes,11.396232741630225,{'k': 7},nqc
490595,rsa definition key,15.261934424830708,{'k': 7},nqc
527433,types of dysarthria from cerebral palsy,56.97508574824136,{'k': 7},nqc
555530,what are best foods to lower cholesterol,32.70327888796178,{'k': 7},nqc
573724,what are the social determinants of health,6.12255925038458,{'k': 7},nqc
583468,what carvedilol used for,6.568464992461614,{'k': 7},nqc
640502,what does it mean if your tsh is low,16.140442053734095,{'k': 7},nqc
67316,can fever cause miscarriage early pregnancy,21.652794757674602,{'k': 7},nqc
673670,what is a alm,7.48761882778105,{'k': 7},nqc
701453,what is a statutory deed,24.321823953626716,{'k': 7},nqc
730539,what is chronometer who invented it,282.6904202697585,{'k': 7},nqc
768208,what is mamey,54.69530661151685,{'k': 7},nqc
833860,what is the most popular food in switzerland,32.50745176465549,{'k': 7},nqc
855410,what is theraderm used for,19.09131812032028,{'k': 7},nqc
87181,causes of left ventricular hypertrophy,25.461837491559244,{'k': 7},nqc
87452,causes of military suicide,47.96682508013735,{'k': 7},nqc
877809,what metal are hip replacements made of,2.1383101833096707,{'k': 7},nqc
911232,what type of conflict does della face in o henry the gift of the magi,130.587973637589,{'k': 7},nqc
914916,what type of tissue are bronchioles,2.531590212660153,{'k': 7},nqc
915593,what types of food can you cook sous vide,17.189431935883043,{'k': 7},nqc
938400,when did family feud come out,1.3256758366305461,{'k': 7},nqc
940547,when did rock n roll begin,48.99955442712503,{'k': 7},nqc
962179,when was the salvation army founded,17.06737767733386,{'k': 7},nqc
997622,where is the show shameless filmed,34.320045499956926,{'k': 7},nqc
1030303,who is aziz hashim,54.354218187893565,{'position': 0},maxScore
1037496,who is rep scalise,36.10284292289735,{'position': 0},maxScore
1037798,who is robert gray,30.52223599135108,{'position': 0},maxScore
1043135,who killed nicholas ii of russia,49.2502142285843,{'position': 0},maxScore
104861,cost of interior concrete flooring,40.68149438203911,{'position': 0},maxScore
1051399,who sings monk theme song,49.27569242487125,{'position': 0},maxScore
1063750,why did the us volunterilay enter ww1,30.340022354623155,{'position': 0},maxScore
1064670,why do hunters pattern their shotguns,48.44851677532251,{'position': 0},maxScore
1071750,why is pete rose banned from hall of fame,70.37404360591505,{'position': 0},maxScore
1103812,who formed the commonwealth of independent states,36.16975393105704,{'position': 0},maxScore
1105792,define geon,34.819506798529275,{'position': 0},maxScore
1106007,define visceral,28.322220712038327,{'position': 0},maxScore
1106979,define pareto chart in statistics,48.10454348157067,{'position': 0},maxScore
1108651,what the best way to get clothes white,31.78160338715615,{'position': 0},maxScore
1109707,what medium do radio waves travel through,48.356533470954815,{'position': 0},maxScore
1110199,what is wifi vs bluetooth,36.36191729441825,{'position': 0},maxScore
1110678,what is the un fao,37.08220801720414,{'position': 0},maxScore
1112341,what is the daily life of thai people,31.60658721897197,{'position': 0},maxScore
1113256,what is reba mcentire s net worth,76.86544979246943,{'position': 0},maxScore
1113437,what is physical description of spruce,29.3566355320492,{'position': 0},maxScore
1114646,what is famvir prescribed for,27.46679633118396,{'position': 0},maxScore
1114819,what is durable medical equipment consist of,44.82950017686196,{'position': 0},maxScore
1115210,what is chaff and flare,42.398410435928994,{'position': 0},maxScore
1115776,what is an aml surveillance analyst,45.67889992612589,{'position': 0},maxScore
1116380,what is a nonconformity earth science,28.809932694475357,{'position': 0},maxScore
1117099,what is a active margin,26.159181666706008,{'position': 0},maxScore
1121353,what can you do about discrimination in the workplace in oklahoma city,46.146934484371045,{'position': 0},maxScore
1121402,what can contour plowing reduce,46.92974651598839,{'position': 0},maxScore
1121709,what are the three percenters,12.18042090902756,{'position': 0},maxScore
1122767,what amino produces carnitine,44.09910364194574,{'position': 0},maxScore
1124210,tracheids are part of,29.07329404862715,{'position': 0},maxScore
1127540,meaning of shebang,31.802593277086192,{'position': 0},maxScore
1129237,hydrogen is a liquid below what temperature,32.94926010900671,{'position': 0},maxScore
1131069,how many sons robert kraft has,46.93499840895672,{'position': 0},maxScore
1132532,average annual income data analyst,38.94695172803165,{'position': 0},maxScore
1133167,how is the weather in jamaica,33.29718125375521,{'position': 0},maxScore
1133579,how does granulation tissue start,32.86091299471014,{'position': 0},maxScore
