retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
mt5,15,spatial,2,0.0,0.09371598157915381,0.36635165974529754,0.08980963045912653,0.1973107232198663,97
mt5,15,a_ratio,2,0.0,-0.013820778144234588,0.8942477026931209,-0.05173572228443449,0.45767184914798675,97
mt5,15,nqc,2,0.0,0.01463165607450953,0.8880821942220295,-0.058006718924971994,0.405009167145034,97
mt5,15,bertQPP,2,0.0,0.31001791218856045,0.002232802538824228,0.2425531914893617,0.0004977893919277137,97
mt5,15,bertQPP(QV),2,0.0,0.2809306185241662,0.005821085096540994,0.21612541993281073,0.0019185306996111196,97
mt5,15,spatial,2,0.02,0.09674348596131342,0.3510027555816979,0.08846584546472563,0.2040985966522333,97
mt5,15,a_ratio,2,0.02,-0.0136456087266928,0.8955804418615203,-0.05218365061590145,0.45378722421084694,97
mt5,15,nqc,2,0.02,0.015453851853791202,0.8818374267028491,-0.04412094064949607,0.5264901898872456,97
mt5,15,bertQPP,2,0.02,0.31242224681651853,0.0020537418641480565,0.24524076147816345,0.00043069465502990344,97
mt5,15,bertQPP(QV),2,0.02,0.2833723787609901,0.005391033029356414,0.2192609182530795,0.0016463159226416154,97
mt5,15,spatial,2,0.04,0.0998739997596375,0.3355600921587923,0.09070548712206046,0.19287820472706918,97
mt5,15,a_ratio,2,0.04,-0.013463118082743503,0.896969191377234,-0.05128779395296752,0.46157506982345653,97
mt5,15,nqc,2,0.04,0.01631054096255212,0.8753383585699842,-0.0387458006718925,0.5780668417625887,97
mt5,15,bertQPP,2,0.04,0.3149085745957182,0.0018823025261466722,0.24792833146696527,0.0003721203105195911,97
mt5,15,bertQPP(QV),2,0.04,0.2858987168372469,0.004976016310240014,0.22284434490481522,0.0013789791739482451,97
mt5,15,spatial,2,0.06,0.10311148975774326,0.32004986427949705,0.0902575587905935,0.1950852317133327,97
mt5,15,a_ratio,2,0.06,-0.013272837668220336,0.8984175515543743,-0.05128779395296752,0.46157506982345653,97
mt5,15,nqc,2,0.06,0.01720391610768779,0.8685697859689466,-0.037849944008958566,0.5868886286609069,97
mt5,15,bertQPP,2,0.06,0.3174803507018486,0.001718676873370015,0.24703247480403132,0.0003907628051682582,97
mt5,15,bertQPP(QV),2,0.06,0.28851328892929684,0.004576669050754251,0.22374020156774915,0.0013187149982744127,97
mt5,15,spatial,2,0.08,0.10645998619731115,0.30450118272795784,0.09339305711086225,0.1800202178616016,97
mt5,15,a_ratio,2,0.08,-0.013074258108048395,0.8999294374535508,-0.05083986562150056,0.46549681309922364,97
mt5,15,nqc,2,0.08,0.018136357601464537,0.8615153308880272,-0.03381858902575587,0.627336830668428,97
mt5,15,bertQPP,2,0.08,0.3201411315502442,0.0015630344314922645,0.24658454647256434,0.0004004079655420764,97
mt5,15,bertQPP(QV),2,0.08,0.2912198701736114,0.004193592752867658,0.22329227323628217,0.0013485365629873913,97
mt5,15,spatial,2,0.1,0.10992355995598865,0.2889461601298694,0.09428891377379618,0.17587898299302407,97
mt5,15,a_ratio,2,0.1,-0.012866824652005011,0.9015091139777099,-0.05128779395296752,0.46157506982345653,97
mt5,15,nqc,2,0.1,0.019110453593194486,0.8541573335034608,-0.03292273236282194,0.6364855097585207,97
mt5,15,bertQPP,2,0.1,0.3228945610429754,0.0014155186530088344,0.24927211646136616,0.0003457095758526932,97
mt5,15,bertQPP(QV),2,0.1,0.29402234263324967,0.0038273482032770067,0.22732362821948487,0.0011011628512873808,97
mt5,15,spatial,2,0.12,0.11350629385428906,0.2734199566045654,0.09652855543113102,0.16583728974218093,97
mt5,15,a_ratio,2,0.12,-0.01264993201013144,0.9031612357614298,-0.05128779395296752,0.46157506982345653,97
mt5,15,nqc,2,0.12,0.020129022936790676,0.8464767337505602,-0.029339305711086224,0.673625932760783,97
mt5,15,bertQPP,2,0.12,0.32574435156907466,0.001276243608420681,0.2528555431131019,0.00028359991915605915,97
mt5,15,bertQPP(QV),2,0.12,0.29692467819873825,0.0034784468077517154,0.2268756998880179,0.001126413481068769,97
mt5,15,spatial,2,0.14,0.11721224704043343,0.2579607742567484,0.0978723404255319,0.16002288467633918,97
mt5,15,a_ratio,2,0.14,-0.012422918466756631,0.9048908926336607,-0.04949608062709966,0.47737241891508597,97
mt5,15,nqc,2,0.14,0.021195141096632696,0.8384529411103971,-0.02754759238521836,0.69250628045417,97
mt5,15,bertQPP,2,0.14,0.3286942584491446,0.0011452906799141978,0.25464725643896974,0.0002566231515229156,97
mt5,15,bertQPP(QV),2,0.14,0.29993091513701703,0.0031473414526768154,0.23001119820828667,0.0009603296485081295,97
mt5,15,spatial,2,0.16,0.12104541125813402,0.2426097884221747,0.1005599104143337,0.14885836858569548,97
mt5,15,a_ratio,2,0.16,-0.012185059152851424,0.9067036615820204,-0.049048152295632697,0.4813674835723556,97
