qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,415.1955319533114,{'k': 3},nqc
1037496,who is rep scalise,27.407067325429868,{'k': 3},nqc
1037798,who is robert gray,10.722211182439905,{'k': 3},nqc
1043135,who killed nicholas ii of russia,13.860527861827203,{'k': 3},nqc
104861,cost of interior concrete flooring,2.240833185420773,{'k': 3},nqc
1051399,who sings monk theme song,0.10050935829155366,{'k': 3},nqc
1063750,why did the us volunterilay enter ww1,1.6475294553232525,{'k': 3},nqc
1064670,why do hunters pattern their shotguns,83.81103066536441,{'k': 3},nqc
1071750,why is pete rose banned from hall of fame,101.73675450277923,{'k': 3},nqc
1103812,who formed the commonwealth of independent states,4.203035205539074,{'k': 3},nqc
1105792,define geon,3.3041688375939344,{'k': 3},nqc
1106007,define visceral,24.05204452171288,{'k': 3},nqc
1106979,define pareto chart in statistics,52.351335626733594,{'k': 3},nqc
1108651,what the best way to get clothes white,5.252370461984349,{'k': 3},nqc
1109707,what medium do radio waves travel through,5.384222236550816,{'k': 3},nqc
1110199,what is wifi vs bluetooth,19.3812869882021,{'k': 3},nqc
1110678,what is the un fao,63.252782112085754,{'k': 3},nqc
1112341,what is the daily life of thai people,4.872746197133319,{'k': 3},nqc
1113256,what is reba mcentire s net worth,173.10799622628343,{'k': 3},nqc
1113437,what is physical description of spruce,18.214591041611612,{'k': 3},nqc
1114646,what is famvir prescribed for,0.9563970841395417,{'k': 3},nqc
1114819,what is durable medical equipment consist of,4.6356478541805695,{'k': 3},nqc
1115210,what is chaff and flare,212.6715837037452,{'k': 3},nqc
1115776,what is an aml surveillance analyst,160.4117440999144,{'k': 3},nqc
1116380,what is a nonconformity earth science,6.205743024983221,{'k': 3},nqc
1117099,what is a active margin,1.381086326840748,{'k': 3},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,184.624461030763,{'k': 3},nqc
1121402,what can contour plowing reduce,0.004820951164206897,{'k': 3},nqc
1121709,what are the three percenters,0.009734062376573063,{'k': 3},nqc
1122767,what amino produces carnitine,55.673436761228245,{'k': 3},nqc
1124210,tracheids are part of,2.252386051502768,{'k': 3},nqc
1127540,meaning of shebang,1.0336806074076363,{'k': 3},nqc
1129237,hydrogen is a liquid below what temperature,0.007166937899530683,{'k': 3},nqc
1131069,how many sons robert kraft has,156.40706593054378,{'k': 3},nqc
1132532,average annual income data analyst,22.531368170301374,{'k': 3},nqc
1133167,how is the weather in jamaica,11.676243152754548,{'k': 3},nqc
1133579,how does granulation tissue start,9.978672466385413,{'k': 3},nqc
1136043,difference between a hotel and motel,150.93380162767244,{'k': 3},nqc
1136047,difference between a company s strategy and business model is,54.68980922088243,{'k': 3},nqc
1136962,why did the ancient egyptians call their land kemet or black land,12.027423138720616,{'k': 3},nqc
118440,define bmt medical,82.20813359566205,{'k': 3},nqc
121171,define etruscans,71.88696660208633,{'k': 3},nqc
130510,definition declaratory judgment,2.7096677867432857,{'k': 3},nqc
131843,definition of a sigmet,111.35277906338116,{'k': 3},nqc
135802,definition of laudable,3.36915888257649,{'k': 3},nqc
141630,describe how muscles and bones work together to produce movement,0.4554072068645804,{'k': 3},nqc
146187,difference between a mcdouble and a double cheeseburger,54.795076451930676,{'k': 3},nqc
148538,difference between rn and bsn,1.91540539251371,{'k': 3},nqc
156493,do goldfish grow,0.10255924755623738,{'k': 3},nqc
156498,do google docs auto save,50.786139632103634,{'k': 3},nqc
168216,does legionella pneumophila cause pneumonia,0.3258798576763152,{'k': 3},nqc
169208,does mississippi have an income tax,29.97831431497781,{'k': 3},nqc
174463,dog day afternoon meaning,9.689287351688648,{'k': 3},nqc
182539,example of monotonic function,6.869497144952423,{'k': 3},nqc
183378,exons definition biology,6.255202949807842,{'k': 3},nqc
19335,anthropological definition of environment,46.51827825644674,{'k': 3},nqc
207786,how are some sharks warm blooded,11.12139710522782,{'k': 3},nqc
23849,are naturalization records public information,4.936601481146876,{'k': 3},nqc
258062,how long does it take to remove wisdom tooth,35.2799113229895,{'k': 3},nqc
264014,how long is life cycle of flea,2.677643219309631,{'k': 3},nqc
324585,how much money do motivational speakers make,87.36923419155302,{'k': 3},nqc
330975,how much would it cost to install my own wind turbine,7.706350486977734,{'k': 3},nqc
332593,how often to button quail lay eggs,251.9661898689717,{'k': 3},nqc
336901,how old is vanessa redgrave,16.220626584284776,{'k': 3},nqc
359349,how to find the midsegment of a trapezoid,3.6984828378131644,{'k': 3},nqc
390360,ia suffix meaning,56.1257920775948,{'k': 3},nqc
405163,is caffeine an narcotic,3.7497663197923154,{'k': 3},nqc
405717,is cdg airport in main paris,31.41659696297864,{'k': 3},nqc
42255,average salary for dental hygienist in nebraska,36.285781121836244,{'k': 3},nqc
443396,lps laws definition,1.1977992182783956,{'k': 3},nqc
451602,medicare s definition of mechanical ventilation,10.837077828817561,{'k': 3},nqc
47210,average wedding dress alteration cost,0.6503040685204189,{'k': 3},nqc
47923,axon terminals or synaptic knob definition,122.38890293668278,{'k': 3},nqc
489204,right pelvic pain causes,1.8275272072558175,{'k': 3},nqc
490595,rsa definition key,6.280828251590567,{'k': 3},nqc
527433,types of dysarthria from cerebral palsy,53.12447946699965,{'k': 3},nqc
555530,what are best foods to lower cholesterol,21.613230059527464,{'k': 3},nqc
573724,what are the social determinants of health,0.4676762706823486,{'k': 3},nqc
583468,what carvedilol used for,0.9191229453784999,{'k': 3},nqc
640502,what does it mean if your tsh is low,9.440230338101545,{'k': 3},nqc
67316,can fever cause miscarriage early pregnancy,13.268740235620447,{'k': 3},nqc
673670,what is a alm,5.365781274541547,{'k': 3},nqc
701453,what is a statutory deed,2.588011642168316,{'k': 3},nqc
730539,what is chronometer who invented it,5.531388658886193,{'k': 3},nqc
768208,what is mamey,12.331890968584107,{'k': 3},nqc
833860,what is the most popular food in switzerland,22.177126490581948,{'k': 3},nqc
855410,what is theraderm used for,3.1172061605951926,{'k': 3},nqc
87181,causes of left ventricular hypertrophy,0.5706144856774157,{'k': 3},nqc
87452,causes of military suicide,2.3009487550533727,{'k': 3},nqc
877809,what metal are hip replacements made of,0.05769874881074353,{'k': 3},nqc
911232,what type of conflict does della face in o henry the gift of the magi,69.55556282901779,{'k': 3},nqc
914916,what type of tissue are bronchioles,0.0160791773990698,{'k': 3},nqc
915593,what types of food can you cook sous vide,8.313319079686364,{'k': 3},nqc
